comment,cleaned_comment,case_folding,slang_check,tokenize,stopword_removal,stemming
kalo kata pak de sihhhh.monggo bowo selamat menikmati meminpin negara ojo lali ya wo iku hutang hutang ku dibayar disek nanti.ojo lali meneh iku.... ikn diseleseno..... bbm supsidi di naiki..... ojolali meneh janji mangan siang gratis ditjalani...... bowo mumut endase piye ikiiiiii duit negara wes enteeee😂😂😂😂😂😂😂😂😂 cerita wayang orang iki🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,kalo kata pak de sihhhhmonggo bowo selamat menikmati meminpin negara ojo lali ya wo iku hutang hutang ku dibayar disek nantiojo lali meneh iku ikn diseleseno bbm supsidi di naiki ojolali meneh janji mangan siang gratis ditjalani bowo mumut endase piye ikiiiiii duit negara wes enteeee cerita wayang orang iki,kalo kata pak de sihhhhmonggo bowo selamat menikmati meminpin negara ojo lali ya wo iku hutang hutang ku dibayar disek nantiojo lali meneh iku ikn diseleseno bbm supsidi di naiki ojolali meneh janji mangan siang gratis ditjalani bowo mumut endase piye ikiiiiii duit negara wes enteeee cerita wayang orang iki,jika kata pakai de sihhhhmonggo bowo selamat menikmati meminpin negara ojo lali ya prabowo iku hutang hutang ku dibayar disek nantiojo lali meneh iku ibu kota nusantara diseleseno bbm supsidi di naiki ojolali meneh janji mangan siang gratis ditjalani bowo mumut endase piye ikiiiiii duit negara wes enteeee cerita wayang orang iki,"['jika', 'kata', 'pakai', 'de', 'sihhhhmonggo', 'bowo', 'selamat', 'menikmati', 'meminpin', 'negara', 'ojo', 'lali', 'ya', 'prabowo', 'iku', 'hutang', 'hutang', 'ku', 'dibayar', 'disek', 'nantiojo', 'lali', 'meneh', 'iku', 'ibu', 'kota', 'nusantara', 'diseleseno', 'bbm', 'supsidi', 'di', 'naiki', 'ojolali', 'meneh', 'janji', 'mangan', 'siang', 'gratis', 'ditjalani', 'bowo', 'mumut', 'endase', 'piye', 'ikiiiiii', 'duit', 'negara', 'wes', 'enteeee', 'cerita', 'wayang', 'orang', 'iki']","['pakai', 'de', 'sihhhhmonggo', 'bowo', 'selamat', 'meminpin', 'ojo', 'lali', 'prabowo', 'hutang', 'hutang', 'dibayar', 'disek', 'nantiojo', 'lali', 'meneh', 'kota', 'nusantara', 'diseleseno', 'bbm', 'supsidi', 'naiki', 'ojolali', 'meneh', 'mangan', 'gratis', 'ditjalani', 'bowo', 'mumut', 'endase', 'duit', 'enteeee', 'cerita', 'wayang']",pakai de sihhhhmonggo bowo selamat meminpin ojo lali prabowo hutang hutang bayar sek nantiojo lali teh kota nusantara diseleseno bbm supsidi naik ojolali teh mangan gratis ditjalani bowo mumut endase duit enteeee cerita wayang
Ha ha ha ha politikal uang.sungguh bertubuh tubi serangan ke negri kita tercinta ini?. perdagangan di monopoli elit global.sungguh indonesia di lemahkan elitglobal.kapan kita ber gerak hed to  hed perekonomian setara./sama,Ha ha ha ha politikal uangsungguh bertubuh tubi serangan ke negri kita tercinta ini perdagangan di monopoli elit globalsungguh indonesia di lemahkan elitglobalkapan kita ber gerak hed to  hed perekonomian setarasama,ha ha ha ha politikal uangsungguh bertubuh tubi serangan ke negri kita tercinta ini perdagangan di monopoli elit globalsungguh indonesia di lemahkan elitglobalkapan kita ber gerak hed to hed perekonomian setarasama,ha ha ha ha politikal uangsungguh bertubi tubi serangan ke negri kita tercinta ini perdagangan di monopoli elit globalsungguh indonesia di lemahkan elitglobalkapan kita ber gerak hed to hed perekonomian setarasama,"['ha', 'ha', 'ha', 'ha', 'politikal', 'uangsungguh', 'bertubi', 'tubi', 'serangan', 'ke', 'negri', 'kita', 'tercinta', 'ini', 'perdagangan', 'di', 'monopoli', 'elit', 'globalsungguh', 'indonesia', 'di', 'lemahkan', 'elitglobalkapan', 'kita', 'ber', 'gerak', 'hed', 'to', 'hed', 'perekonomian', 'setarasama']","['politikal', 'uangsungguh', 'bertubi', 'tubi', 'negri', 'tercinta', 'perdagangan', 'monopoli', 'globalsungguh', 'indonesia', 'lemahkan', 'elitglobalkapan', 'perekonomian', 'setarasama']",politikal uangsungguh tubi tubi negri cinta dagang monopoli globalsungguh indonesia lemah elitglobalkapan ekonomi setarasama
Semoga rupiah sama level nilainya dgn mata wang afrika bleh tukar di pasar pagi dan smoga cpt bancrup🤭,Semoga rupiah sama level nilainya dgn mata wang afrika bleh tukar di pasar pagi dan smoga cpt bancrup,semoga rupiah sama level nilainya dgn mata wang afrika bleh tukar di pasar pagi dan smoga cpt bancrup,semoga rupiah sama level nilainya dgn mata uang afrika bleh tukar di pasar pagi dan smoga cpt bancrup,"['semoga', 'rupiah', 'sama', 'level', 'nilainya', 'dgn', 'mata', 'uang', 'afrika', 'bleh', 'tukar', 'di', 'pasar', 'pagi', 'dan', 'smoga', 'cpt', 'bancrup']","['rupiah', 'level', 'afrika', 'bleh', 'tukar', 'pasar', 'pagi', 'smoga', 'cpt', 'bancrup']",rupiah level afrika bleh tukar pasar pagi smoga cpt bancrup
Mau aja di bodohin kita ini mandiri jangan begantung sama dollar buang dollar . rusia. china dan timur tengah aja sdh buang mata uang dollar,Mau aja di bodohin kita ini mandiri jangan begantung sama dollar buang dollar  rusia china dan timur tengah aja sdh buang mata uang dollar,mau aja di bodohin kita ini mandiri jangan begantung sama dollar buang dollar rusia china dan timur tengah aja sdh buang mata uang dollar,ingin aja di bodohin kita ini mandiri jangan begantung sama dollar buang dollar rusia china dan timur tengah aja sudah buang mata uang dollar,"['ingin', 'aja', 'di', 'bodohin', 'kita', 'ini', 'mandiri', 'jangan', 'begantung', 'sama', 'dollar', 'buang', 'dollar', 'rusia', 'china', 'dan', 'timur', 'tengah', 'aja', 'sudah', 'buang', 'mata', 'uang', 'dollar']","['bodohin', 'mandiri', 'begantung', 'dollar', 'buang', 'dollar', 'rusia', 'china', 'timur', 'buang', 'dollar']",bodohin mandiri begantung dollar buang dollar rusia china timur buang dollar
Uang kita memang nggak ada nilainya.harus di citak ulang atau di perkecil monomalnya,Uang kita memang nggak ada nilainyaharus di citak ulang atau di perkecil monomalnya,uang kita memang nggak ada nilainyaharus di citak ulang atau di perkecil monomalnya,uang kita memang tidak ada nilainyaharus di cetak ulang atau di perkecil monomalnya,"['uang', 'kita', 'memang', 'tidak', 'ada', 'nilainyaharus', 'di', 'cetak', 'ulang', 'atau', 'di', 'perkecil', 'monomalnya']","['nilainyaharus', 'cetak', 'ulang', 'perkecil', 'monomalnya']",nilainyaharus cetak ulang kecil monomalnya
Kepala bapak kau stabil,Kepala bapak kau stabil,kepala bapak kau stabil,kepala bapak kau stabil,"['kepala', 'bapak', 'kau', 'stabil']",['stabil'],stabil
Belum 20 ribu,Belum  ribu,belum ribu,belum ribu,"['belum', 'ribu']",['ribu'],ribu
katanya Indonesia negara kaya ko bisa kami masyarakat sangat menderita masalah ke uangan.mungkin saja yg kaya2 cuman pejabat,katanya Indonesia negara kaya ko bisa kami masyarakat sangat menderita masalah ke uanganmungkin saja yg kaya cuman pejabat,katanya indonesia negara kaya ko bisa kami masyarakat sangat menderita masalah ke uanganmungkin saja yg kaya cuman pejabat,katanya indonesia negara kaya ko bisa kami masyarakat sangat menderita masalah ke uanganmungkin saja yang kaya cuman pejabat,"['katanya', 'indonesia', 'negara', 'kaya', 'ko', 'bisa', 'kami', 'masyarakat', 'sangat', 'menderita', 'masalah', 'ke', 'uanganmungkin', 'saja', 'yang', 'kaya', 'cuman', 'pejabat']","['indonesia', 'menderita', 'uanganmungkin', 'pejabat']",indonesia derita uanganmungkin jabat
klw naik turu dolar itu dari dulu sudah ada tp gak haboh seperti sekarang ini indonesia itu aneh masalah apapun yg di salahkan presidennya kalian lihatlah negara lainnya gak ada yg menyalahkan presidennya,klw naik turu dolar itu dari dulu sudah ada tp gak haboh seperti sekarang ini indonesia itu aneh masalah apapun yg di salahkan presidennya kalian lihatlah negara lainnya gak ada yg menyalahkan presidennya,klw naik turu dolar itu dari dulu sudah ada tp gak haboh seperti sekarang ini indonesia itu aneh masalah apapun yg di salahkan presidennya kalian lihatlah negara lainnya gak ada yg menyalahkan presidennya,klw naik turun dolar itu dari dulu sudah ada tp tidak haboh seperti sekarang ini indonesia itu aneh masalah apapun yang di salahkan presidennya kalian lihatlah negara lainnya tidak ada yang menyalahkan presidennya,"['klw', 'naik', 'turun', 'dolar', 'itu', 'dari', 'dulu', 'sudah', 'ada', 'tp', 'tidak', 'haboh', 'seperti', 'sekarang', 'ini', 'indonesia', 'itu', 'aneh', 'masalah', 'apapun', 'yang', 'di', 'salahkan', 'presidennya', 'kalian', 'lihatlah', 'negara', 'lainnya', 'tidak', 'ada', 'yang', 'menyalahkan', 'presidennya']","['dolar', 'haboh', 'indonesia', 'aneh', 'salahkan', 'presidennya', 'menyalahkan', 'presidennya']",dolar haboh indonesia aneh salah presiden salah presiden
Gak usah ngurusin dan bandingin dengan negara lain pak. kalau memang hebat dan tepati janji buat la angka rupiah di bawah 10.000😂,Gak usah ngurusin dan bandingin dengan negara lain pak kalau memang hebat dan tepati janji buat la angka rupiah di bawah ,gak usah ngurusin dan bandingin dengan negara lain pak kalau memang hebat dan tepati janji buat la angka rupiah di bawah,tidak usah ngurusin dan bandingin dengan negara lain pakai kalau memang hebat dan tepati janji buat la angka rupiah di bawah,"['tidak', 'usah', 'ngurusin', 'dan', 'bandingin', 'dengan', 'negara', 'lain', 'pakai', 'kalau', 'memang', 'hebat', 'dan', 'tepati', 'janji', 'buat', 'la', 'angka', 'rupiah', 'di', 'bawah']","['ngurusin', 'bandingin', 'pakai', 'tepati', 'rupiah']",ngurusin bandingin pakai tepat rupiah
Stabil soalnya di kantong saya banyak uang dolar,Stabil soalnya di kantong saya banyak uang dolar,stabil soalnya di kantong saya banyak uang dolar,stabil karena di kantong saya banyak uang dolar,"['stabil', 'karena', 'di', 'kantong', 'saya', 'banyak', 'uang', 'dolar']","['stabil', 'kantong', 'dolar']",stabil kantong dolar
Bertemunya faktor eksternal (keadaan geopolitik internasional. suku bunga The Fed. dll) dg faktor internal (daya beli melemah. defisit APBN. dll) mempersulit kebangkitan rupiah,Bertemunya faktor eksternal keadaan geopolitik internasional suku bunga The Fed dll dg faktor internal daya beli melemah defisit APBN dll mempersulit kebangkitan rupiah,bertemunya faktor eksternal keadaan geopolitik internasional suku bunga the fed dll dg faktor internal daya beli melemah defisit apbn dll mempersulit kebangkitan rupiah,bertemunya faktor eksternal keadaan geopolitik internasional suku bunga the fed dll dg faktor internal daya beli melemah defisit apbn dll mempersulit kebangkitan rupiah,"['bertemunya', 'faktor', 'eksternal', 'keadaan', 'geopolitik', 'internasional', 'suku', 'bunga', 'the', 'fed', 'dll', 'dg', 'faktor', 'internal', 'daya', 'beli', 'melemah', 'defisit', 'apbn', 'dll', 'mempersulit', 'kebangkitan', 'rupiah']","['faktor', 'eksternal', 'geopolitik', 'internasional', 'suku', 'bunga', 'the', 'fed', 'faktor', 'internal', 'beli', 'melemah', 'defisit', 'apbn', 'mempersulit', 'kebangkitan', 'rupiah']",faktor eksternal geopolitik internasional suku bunga the fed faktor internal beli lemah defisit apbn sulit bangkit rupiah
9 THN lalu.aku prediksi dollar 15000. gak nyangka ternyata udah hampir 16500, THN laluaku prediksi dollar  gak nyangka ternyata udah hampir ,thn laluaku prediksi dollar gak nyangka ternyata udah hampir,tahun laluaku prediksi dollar tidak nyangka ternyata udah hampir,"['tahun', 'laluaku', 'prediksi', 'dollar', 'tidak', 'nyangka', 'ternyata', 'udah', 'hampir']","['laluaku', 'prediksi', 'dollar', 'nyangka']",laluaku prediksi dollar nyangka
Bandingkan dengan negara lain ya..tapi negara lain gak impor beras gak impor elekteonik. intinya mereka gak mau disalahkan apalagi sri mulyani tukang palak pajak,Bandingkan dengan negara lain yatapi negara lain gak impor beras gak impor elekteonik intinya mereka gak mau disalahkan apalagi sri mulyani tukang palak pajak,bandingkan dengan negara lain yatapi negara lain gak impor beras gak impor elekteonik intinya mereka gak mau disalahkan apalagi sri mulyani tukang palak pajak,bandingkan dengan negara lain yatapi negara lain tidak impor beras tidak impor elekteonik intinya mereka tidak ingin disalahkan apalagi sri mulyani tukang palak pajak,"['bandingkan', 'dengan', 'negara', 'lain', 'yatapi', 'negara', 'lain', 'tidak', 'impor', 'beras', 'tidak', 'impor', 'elekteonik', 'intinya', 'mereka', 'tidak', 'ingin', 'disalahkan', 'apalagi', 'sri', 'mulyani', 'tukang', 'palak', 'pajak']","['yatapi', 'impor', 'beras', 'impor', 'elekteonik', 'intinya', 'disalahkan', 'sri', 'mulyani', 'tukang', 'palak', 'pajak']",yatapi impor beras impor elekteonik inti salah sri mulyani tukang palak pajak
Judul.. Artinya Indonesia masih dijadikan target sekalipun sdh menjadi neg demokrasi. Semoga setelah prabowo dilantik menjadikan Indonesia anggota BRICS,Judul Artinya Indonesia masih dijadikan target sekalipun sdh menjadi neg demokrasi Semoga setelah prabowo dilantik menjadikan Indonesia anggota BRICS,judul artinya indonesia masih dijadikan target sekalipun sdh menjadi neg demokrasi semoga setelah prabowo dilantik menjadikan indonesia anggota brics,judul artinya indonesia masih dijadikan target sekalipun sudah menjadi neg demokrasi semoga setelah prabowo dilantik menjadikan indonesia anggota brics,"['judul', 'artinya', 'indonesia', 'masih', 'dijadikan', 'target', 'sekalipun', 'sudah', 'menjadi', 'neg', 'demokrasi', 'semoga', 'setelah', 'prabowo', 'dilantik', 'menjadikan', 'indonesia', 'anggota', 'brics']","['indonesia', 'dijadikan', 'target', 'neg', 'demokrasi', 'prabowo', 'dilantik', 'indonesia', 'anggota', 'brics']",indonesia jadi target neg demokrasi prabowo lantik indonesia anggota brics
Stabil matane,Stabil matane,stabil matane,stabil matamu,"['stabil', 'matamu']","['stabil', 'matamu']",stabil mata
alhamdullilah gassss terus sampai tepurukkkkkk,alhamdullilah gassss terus sampai tepurukkkkkk,alhamdullilah gassss terus sampai tepurukkkkkk,alhamdullilah lanjut terus sampai tepurukkkkkk,"['alhamdullilah', 'lanjut', 'terus', 'sampai', 'tepurukkkkkk']","['alhamdullilah', 'tepurukkkkkk']",alhamdullilah tepurukkkkkk
KRISMON JILID 2..😭😭Pemerintah Pura2 Melek Mata..Gembar Gembor Ekonomi masih Pancen OKE..Kiblat nya liat Amerika😂😂😂..Padahal Rakyat menjerit PHK dan Loker Sulit😢😢,KRISMON JILID Pemerintah Pura Melek MataGembar Gembor Ekonomi masih Pancen OKEKiblat nya liat AmerikaPadahal Rakyat menjerit PHK dan Loker Sulit,krismon jilid pemerintah pura melek matagembar gembor ekonomi masih pancen okekiblat nya liat amerikapadahal rakyat menjerit phk dan loker sulit,krisis moneter jilid pemerintah pura melek matagembar gembor ekonomi masih pancen okekiblat nya liat amerikapadahal rakyat menjerit phk dan loker sulit,"['krisis', 'moneter', 'jilid', 'pemerintah', 'pura', 'melek', 'matagembar', 'gembor', 'ekonomi', 'masih', 'pancen', 'okekiblat', 'nya', 'liat', 'amerikapadahal', 'rakyat', 'menjerit', 'phk', 'dan', 'loker', 'sulit']","['moneter', 'melek', 'matagembar', 'gembor', 'pancen', 'okekiblat', 'amerikapadahal', 'menjerit', 'phk', 'loker', 'sulit']",moneter melek matagembar gembor pancen okekiblat amerikapadahal jerit phk loker sulit
Pak gubernur BI ini slalu bicara stabil2 aja. nggak memikirkan rupia anjlok dn smua jadi kaco.... berarti aslinya pak gubernur BI ini pendukung dolar.,Pak gubernur BI ini slalu bicara stabil aja nggak memikirkan rupia anjlok dn smua jadi kaco berarti aslinya pak gubernur BI ini pendukung dolar,pak gubernur bi ini slalu bicara stabil aja nggak memikirkan rupia anjlok dn smua jadi kaco berarti aslinya pak gubernur bi ini pendukung dolar,pakai gubernur bank indonesia ini slalu bicara stabil aja tidak memikirkan rupia anjlok dan smua jadi kaco berarti aslinya pakai gubernur bank indonesia ini pendukung dolar,"['pakai', 'gubernur', 'bank', 'indonesia', 'ini', 'slalu', 'bicara', 'stabil', 'aja', 'tidak', 'memikirkan', 'rupia', 'anjlok', 'dan', 'smua', 'jadi', 'kaco', 'berarti', 'aslinya', 'pakai', 'gubernur', 'bank', 'indonesia', 'ini', 'pendukung', 'dolar']","['pakai', 'gubernur', 'bank', 'indonesia', 'bicara', 'stabil', 'memikirkan', 'rupia', 'anjlok', 'smua', 'kaco', 'pakai', 'gubernur', 'bank', 'indonesia', 'pendukung', 'dolar']",pakai gubernur bank indonesia bicara stabil pikir rupia anjlok smua kaco pakai gubernur bank indonesia dukung dolar
EKONOMI MEROKET ALA ALA KANG NGIBUL 😂😆 kaum 58% banyak yg kena PHK tuh dan tetap pura pura bahagia 😆😂😆,EKONOMI MEROKET ALA ALA KANG NGIBUL  kaum  banyak yg kena PHK tuh dan tetap pura pura bahagia ,ekonomi meroket ala ala kang ngibul kaum banyak yg kena phk tuh dan tetap pura pura bahagia,ekonomi meroket ala ala tukang ngibul kaum banyak yang kena phk tuh dan tetap pura pura bahagia,"['ekonomi', 'meroket', 'ala', 'ala', 'tukang', 'ngibul', 'kaum', 'banyak', 'yang', 'kena', 'phk', 'tuh', 'dan', 'tetap', 'pura', 'pura', 'bahagia']","['meroket', 'tukang', 'ngibul', 'kena', 'phk', 'bahagia']",roket tukang ngibul kena phk bahagia
Yg dibandingkan negara lain. tapi gk mikir ekonomi rakyat sendiri... Kan bgsd😂,Yg dibandingkan negara lain tapi gk mikir ekonomi rakyat sendiri Kan bgsd,yg dibandingkan negara lain tapi gk mikir ekonomi rakyat sendiri kan bgsd,yang dibandingkan negara lain tapi tidak mikir ekonomi rakyat sendiri kan bgsd,"['yang', 'dibandingkan', 'negara', 'lain', 'tapi', 'tidak', 'mikir', 'ekonomi', 'rakyat', 'sendiri', 'kan', 'bgsd']",['dibandingkan'],banding
Klau stabil tu+ 15 .000 pak .,Klau stabil tu   pak ,klau stabil tu pak,klau stabil tu pakai,"['klau', 'stabil', 'tu', 'pakai']","['stabil', 'pakai']",stabil pakai
